,Truck id,Bridge id,Waiting time,Type
0,SmallTruck66822,N104_LRPSa,0,SmallTruck
1,SmallTruck66821,N102_LRP082a,0,SmallTruck
2,MediumTruck66828,N2_LRP146a,0,MediumTruck
3,MediumTruck66816,N1_LRP001a,0,MediumTruck
4,SmallTruck66817,N1_LRP456c,0,SmallTruck
5,MediumTruck66819,N2_LRP285c,0,MediumTruck
6,MiniBus66831,N208_LRP055a,0,MiniBus
7,SmallTruck66817,N1_LRP456a,0,SmallTruck
8,MediumTruck66819,N2_LRP285a,0,MediumTruck
9,MediumTruck66819,N2_LRP284c,0,MediumTruck
10,SmallTruck66822,N1_LRP145a,0.06422845250464582,SmallTruck
11,SmallTruck66826,N204_LRP003b,0,SmallTruck
12,SmallTruck66817,N1_LRP455a,0.025167329022921302,SmallTruck
13,MediumTruck66819,N2_LRP284b,0,MediumTruck
14,SmallTruck66824,N105_LRP003a,0,SmallTruck
15,MediumTruck66819,N2_LRP283b,0,MediumTruck
16,SmallTruck66830,N208_LRP004c,0,SmallTruck
17,SmallTruck66838,N104_LRPSa,0,SmallTruck
18,MediumTruck66842,N2_LRP117b,0,MediumTruck
19,MediumTruck66842,N2_LRP117a,0.05244036654956945,MediumTruck
20,MiniBus66847,N2_LRP228b,0,MiniBus
21,MediumTruck66816,N1_LRP004b,0,MediumTruck
22,HeavyTruck66820,N1_LRP077a,0,HeavyTruck
23,MediumTruck66823,N104_LRP044d,0,MediumTruck
24,MediumTruck66828,N2_LRP141b,0,MediumTruck
25,MediumTruck66828,N2_LRP141a,0,MediumTruck
26,MediumTruck66837,N102_LRP082a,0,MediumTruck
27,SmallTruck66822,N1_LRP143a,0,SmallTruck
28,SmallTruck66824,N105_LRP005c,0,SmallTruck
29,SmallTruck66824,N105_LRP006a,0,SmallTruck
30,MediumTruck66828,N2_LRP140c,0,MediumTruck
31,LargeBus66832,N1_LRP001a,0,LargeBus
32,SmallTruck66833,N1_LRP456c,0,SmallTruck
33,MediumTruck66835,N2_LRP285c,0,MediumTruck
34,MediumTruck66845,N207_LRP066b,0,MediumTruck
35,MiniBus66847,N2_LRP226d,0,MiniBus
36,MiniBus66847,N2_LRP226c,0,MiniBus
37,SmallTruck66817,N1_LRP452e,0,SmallTruck
38,SmallTruck66817,N1_LRP452d,0,SmallTruck
39,SmallTruck66817,N1_LRP452c,0,SmallTruck
40,SmallTruck66817,N1_LRP452a,0,SmallTruck
41,SmallTruck66822,N1_LRP142a,0,SmallTruck
42,MediumTruck66825,N105_LRP042b,0,MediumTruck
43,MediumTruck66828,N2_LRP140a,0,MediumTruck
44,MediumTruck66828,N2_LRP139b,0,MediumTruck
45,SmallTruck66833,N1_LRP456a,0,SmallTruck
46,MediumTruck66835,N2_LRP285a,0,MediumTruck
47,MediumTruck66835,N2_LRP284c,0,MediumTruck
48,SmallTruck66838,N1_LRP145a,0.2571350782250672,SmallTruck
49,MiniBus66847,N2_LRP225c,0,MiniBus
50,SmallTruck66817,N1_LRP451e,0,SmallTruck
51,MediumTruck66828,N2_LRP139a,0,MediumTruck
52,SmallTruck66829,N2_LRP199d,0,SmallTruck
53,SmallTruck66833,N1_LRP455a,1.5564997804273666,SmallTruck
54,MediumTruck66834,N1_LRP004b,0,MediumTruck
55,MediumTruck66835,N2_LRP284b,0,MediumTruck
56,MediumTruck66840,N105_LRP003a,0,MediumTruck
57,MiniBus66847,N2_LRP224b,0.294589797118653,MiniBus
58,SmallTruck66817,N1_LRP451b,0,SmallTruck
59,SmallTruck66817,N1_LRP450e,0,SmallTruck
60,SmallTruck66817,N1_LRP450c,0,SmallTruck
61,MediumTruck66825,N105_LRP041c,0,MediumTruck
62,MediumTruck66828,N2_LRP138b,0,MediumTruck
63,MediumTruck66828,N2_LRP138a,0,MediumTruck
64,SmallTruck66829,N2_LRP200c,0,SmallTruck
65,LargeBus66832,N1_LRP004b,0,LargeBus
66,MediumTruck66835,N2_LRP283b,0,MediumTruck
67,LargeBus66839,N104_LRP044d,0,LargeBus
68,MiniBus66846,N208_LRP004c,0,MiniBus
69,MediumTruck66854,N104_LRPSa,0,MediumTruck
70,SmallTruck66817,N1_LRP450a,0,SmallTruck
71,MediumTruck66825,N105_LRP040c,0,MediumTruck
72,SmallTruck66836,N1_LRP077a,0,SmallTruck
73,MediumTruck66853,N102_LRP082a,0,MediumTruck
74,SmallTruck66858,N2_LRP118a,0,SmallTruck
75,SmallTruck66858,N2_LRP118b,0,SmallTruck
76,SmallTruck66858,N2_LRP118e,0,SmallTruck
77,MediumTruck66860,N2_LRP146a,0,MediumTruck
78,SmallTruck66817,N1_LRP449d,0,SmallTruck
79,SmallTruck66817,N1_LRP449c,0,SmallTruck
80,MediumTruck66825,N105_LRP039b,0,MediumTruck
81,MiniBus66831,N208_LRP046b,0,MiniBus
82,SmallTruck66838,N1_LRP143a,0,SmallTruck
83,MediumTruck66840,N105_LRP005c,0,MediumTruck
84,MediumTruck66840,N105_LRP006a,0,MediumTruck
85,MiniBus66848,N1_LRP001a,0,MiniBus
86,MediumTruck66849,N1_LRP456c,0,MediumTruck
87,MediumTruck66850,N1_LRP010b,0,MediumTruck
88,MediumTruck66850,N1_LRP010c,0,MediumTruck
89,MediumTruck66851,N2_LRP285c,0,MediumTruck
90,SmallTruck66858,N2_LRP118g,0,SmallTruck
