,Truck id,Bridge id,Waiting time,Type
0,MediumTruck29958,N104_LRPSa,0,MediumTruck
1,MiniBus29967,N2_LRP228b,0,MiniBus
2,SmallTruck29956,N102_LRPSc,0,SmallTruck
3,LargeBus29957,N102_LRP082a,0,LargeBus
4,SmallTruck29964,N2_LRP146a,0.062332435255129826,SmallTruck
5,SmallTruck29952,N1_LRP001a,0,SmallTruck
6,LargeBus29953,N1_LRP456c,0,LargeBus
7,LargeBus29954,N1_LRP010b,0,LargeBus
8,LargeBus29954,N1_LRP010c,0,LargeBus
9,LargeBus29954,N1_LRP011a,0,LargeBus
10,MediumTruck29955,N2_LRP285c,0,MediumTruck
11,SmallTruck29956,N102_LRP002a,0,SmallTruck
12,MiniBus29967,N2_LRP226d,0,MiniBus
13,MiniBus29967,N2_LRP226c,0,MiniBus
14,LargeBus29953,N1_LRP456a,0,LargeBus
15,MediumTruck29955,N2_LRP285a,0,MediumTruck
16,MediumTruck29955,N2_LRP284c,0,MediumTruck
17,SmallTruck29956,N102_LRP002b,0,SmallTruck
18,SmallTruck29956,N102_LRP002c,0,SmallTruck
19,MiniBus29962,N204_LRP003b,0,MiniBus
20,MiniBus29967,N2_LRP225c,0,MiniBus
21,LargeBus29953,N1_LRP455a,0,LargeBus
22,LargeBus29954,N1_LRP012a,0,LargeBus
23,LargeBus29954,N1_LRP012b,0,LargeBus
24,MediumTruck29955,N2_LRP284b,0,MediumTruck
25,MediumTruck29960,N105_LRP003a,0.06767002359143606,MediumTruck
26,MiniBus29967,N2_LRP224b,0,MiniBus
27,LargeBus29954,N1_LRP014a,0,LargeBus
28,MediumTruck29955,N2_LRP283b,0,MediumTruck
29,LargeBus29959,N104_LRP044d,0,LargeBus
30,MiniBus29966,N208_LRP004c,0,MiniBus
31,MiniBus29974,N104_LRPSa,0,MiniBus
32,SmallTruck29952,N1_LRP004b,0,SmallTruck
33,MediumTruck29973,N102_LRP082a,0,MediumTruck
34,HeavyTruck29980,N2_LRP146a,0.005067013613050009,HeavyTruck
35,LargeBus29953,N1_LRP452e,0,LargeBus
36,LargeBus29953,N1_LRP452d,0,LargeBus
37,LargeBus29953,N1_LRP452c,0,LargeBus
38,LargeBus29953,N1_LRP452a,0,LargeBus
39,MediumTruck29960,N105_LRP005c,0,MediumTruck
40,SmallTruck29964,N2_LRP141b,0,SmallTruck
41,MediumTruck29968,N1_LRP001a,0,MediumTruck
42,MediumTruck29969,N1_LRP456c,0,MediumTruck
43,MediumTruck29971,N2_LRP285c,0,MediumTruck
44,SmallTruck29981,N207_LRP066b,0,SmallTruck
45,MiniBus29983,N208_LRP055a,0,MiniBus
46,LargeBus29953,N1_LRP451e,0,LargeBus
47,LargeBus29953,N1_LRP451b,0,LargeBus
48,LargeBus29953,N1_LRP450e,0,LargeBus
49,MediumTruck29960,N105_LRP006a,0,MediumTruck
50,MediumTruck29961,N105_LRP042b,0,MediumTruck
51,SmallTruck29964,N2_LRP141a,0,SmallTruck
52,MiniBus29967,N2_LRP221b,0,MiniBus
53,MediumTruck29969,N1_LRP456a,0,MediumTruck
54,MediumTruck29971,N2_LRP285a,0,MediumTruck
55,MediumTruck29971,N2_LRP284c,0,MediumTruck
56,SmallTruck29978,N204_LRP003b,0,SmallTruck
57,LargeBus29953,N1_LRP450c,0,LargeBus
58,LargeBus29953,N1_LRP450a,0,LargeBus
59,SmallTruck29964,N2_LRP140c,0,SmallTruck
60,SmallTruck29964,N2_LRP140a,0,SmallTruck
61,MediumTruck29965,N2_LRP199d,0,MediumTruck
62,MediumTruck29969,N1_LRP455a,0,MediumTruck
63,MediumTruck29971,N2_LRP284b,0,MediumTruck
64,MediumTruck29976,N105_LRP003a,0.665230413252359,MediumTruck
65,LargeBus29953,N1_LRP449d,0,LargeBus
66,LargeBus29953,N1_LRP449c,0,LargeBus
67,MediumTruck29961,N105_LRP041c,0,MediumTruck
68,SmallTruck29964,N2_LRP139b,0,SmallTruck
69,SmallTruck29964,N2_LRP139a,0,SmallTruck
70,MediumTruck29965,N2_LRP200c,0,MediumTruck
71,MiniBus29967,N2_LRP219a,0,MiniBus
72,MediumTruck29971,N2_LRP283b,0,MediumTruck
73,LargeBus29982,N208_LRP004c,0,LargeBus
74,MediumTruck29990,N104_LRPSa,0,MediumTruck
75,MiniBus29999,N2_LRP228b,0,MiniBus
76,LargeBus29953,N1_LRP448a,0,LargeBus
77,SmallTruck29956,N102_LRP009a,0,SmallTruck
78,MediumTruck29961,N105_LRP040c,0,MediumTruck
79,SmallTruck29964,N2_LRP138b,0,SmallTruck
80,MediumTruck29968,N1_LRP004b,0,MediumTruck
81,MediumTruck29972,N1_LRP077a,0,MediumTruck
82,MediumTruck29975,N104_LRP044d,0,MediumTruck
83,SmallTruck29988,N102_LRPSc,0,SmallTruck
84,MediumTruck29989,N102_LRP082a,0,MediumTruck
85,MediumTruck29994,N2_LRP118a,0,MediumTruck
86,MediumTruck29994,N2_LRP118b,0,MediumTruck
87,MediumTruck29994,N2_LRP118e,0,MediumTruck
88,MediumTruck29996,N2_LRP146a,0.07452644675132747,MediumTruck
89,LargeBus29953,N1_LRP447c,0,LargeBus
90,LargeBus29954,N1_LRP020a,0,LargeBus
91,MediumTruck29958,N104_LRP010a,0,MediumTruck
92,MediumTruck29961,N105_LRP039b,0,MediumTruck
93,SmallTruck29964,N2_LRP138a,0,SmallTruck
94,MediumTruck29969,N1_LRP452e,0,MediumTruck
95,MediumTruck29969,N1_LRP452d,0,MediumTruck
96,MediumTruck29976,N105_LRP005c,0,MediumTruck
97,HeavyTruck29980,N2_LRP141b,0,HeavyTruck
98,MiniBus29984,N1_LRP001a,0,MiniBus
99,MediumTruck29985,N1_LRP456c,0,MediumTruck
100,SmallTruck29986,N1_LRP010b,0,SmallTruck
101,SmallTruck29986,N1_LRP010c,0,SmallTruck
102,LargeBus29987,N2_LRP285c,0,LargeBus
103,LargeBus29987,N2_LRP285a,0,LargeBus
104,SmallTruck29988,N102_LRP002a,0,SmallTruck
105,MediumTruck29994,N2_LRP118g,0,MediumTruck
106,MiniBus29999,N2_LRP226d,0,MiniBus
107,MiniBus29999,N2_LRP226c,0,MiniBus
