road,id,model_type,condition,name,lat,lon,length
N1,N1_link131,link,,,22.5904616,91.6754667,850
N1,N1_LRP208a,bridge,C,BAROCONDO BRIDGE,22.58703502,91.67704447,22.25
N1,N1_link132,link,,,22.58427185,91.67829176,685
N1,N1_LRP208d,bridge,A,BAROGINDO CULVERT,22.58150867,91.67953904,2.5
N1,N1_link133,link,,,22.57915085,91.68058089,566
N1,N1_LRP209a,bridge,A,BARO-CUNDHOW BOX CULVERT,22.57679302,91.68162274,10.2
N1,N1_link134,link,,,22.57354181,91.6828162,774
N1,N1_LRP210a,bridge,A,PHPMORE BON CULVERT,22.57029059,91.68400967,3
N1,N1_link135,link,,,22.5691437,91.68434816,273
N1,N1_LRP210b,bridge,A,CHARA KANDI BOX CULVERT,22.56799681,91.68468666,8.2
N1,N1_link136,link,,,22.56720905,91.68493466,187
N1,N1_LRP210d,bridge,A,R. R TEXTAIL BOX CULVERT,22.56642129,91.68518266,4.5
N1,N1_link137,link,,,22.56247119,91.68634445,924
N1,N1_LRP211a,bridge,A,OHIDPUR BOX CULVERT,22.55852109,91.68750624,4.1
N1,N1_link138,link,,,22.55642653,91.68815128,490
N1,N1_LRP212a,bridge,B,BARSH BARIA BRIDGE,22.55433198,91.68879631,21.6
N1,N1_link139,link,,,22.55055235,91.69071119,962
N1,N1_LRP213a,bridge,A,SOUTH BALSH KHALI BOX CULVERT,22.54677272,91.69262606,3
N1,N1_link140,link,,,22.54563125,91.69337857,300
N1,N1_LRP213b,bridge,A,DOKHIN BASH-KHALI BOX CULVERT,22.54448978,91.69413108,5.2
N1,N1_link141,link,,,22.5417599,91.69533818,657
N1,N1_LRP214a,bridge,A,SOTTANA MONDIR CULVERT,22.53903002,91.69654527,8.2
N1,N1_link142,link,,,22.53469891,91.6985047,1050
N1,N1_LRP215a,bridge,A,GULAM JUTE MILE BOX CULVERT,22.5303678,91.70046412,3
N1,N1_link143,link,,,22.52085746,91.70462746,2324
N1,N1_LRP217a,bridge,A,Chotokumir Bridge,22.51134712,91.70879079,41.11
N1,N1_link144,link,,,22.50868458,91.71003781,660
N1,N1_LRP218a,bridge,A,ROYL CIMINT GATE CULVETRT,22.50602204,91.71128482,4.5
N1,N1_link145,link,,,22.50305394,91.71271766,729
N1,N1_LRP218b,bridge,A,GORA MARA RCC GIRDER BRIDGE,22.50008583,91.71415049,17.6
N1,N1_link146,link,,,22.49281692,91.71684072,1746
N1,N1_LRP220a,bridge,A,BARAOWLLA BOX CULVERT,22.48554801,91.71953095,4.5
N1,N1_link147,link,,,22.48335611,91.71994716,499
N1,N1_LRP220b,bridge,B,MUDDO SONAISORI BRIDGE,22.48116421,91.72036336,23.2
N1,N1_link148,link,,,22.47700865,91.72181336,986
N1,N1_LRP221a,bridge,A,HATIBORI BOX CULVERT,22.47285309,91.72326335,6
N1,N1_link149,link,,,22.46764586,91.72589703,1298
N1,N1_LRP223a,bridge,B,SHLAKHAR PAD BRIDGE,22.46243864,91.7285307,23.2
N1,N1_link150,link,,,22.45565074,91.73140654,1632
N1,N1_LRP224a,bridge,A,KODOM RASUL BOX CULVERT,22.44886285,91.73428239,3
N1,N1_link151,link,,,22.44318319,91.73647417,1386
N1,N1_LRP226a,bridge,A,HASNA BAD BOX CULVERT,22.43750352,91.73866595,3
N1,N1_link152,link,,,22.43628866,91.73915933,310
N1,N1_LRP226b,bridge,A,VATERIE BRIDGE,22.43507379,91.73965272,40
N1,N1_link153,link,,,22.42855767,91.74383685,1649
N1,N1_LRP228a,bridge,B,DHAMAKHALI BRIDGE,22.42204155,91.74802098,35.1
N1,N1_link154,link,,,22.41252805,91.75229755,2327
N1,N1_LRP230a,bridge,A,VATIARI CULVERT,22.40301454,91.75657412,5
N1,N1_link155,link,,,22.39967721,91.75741464,768
N1,N1_LRP231a,bridge,A,T. B HOSPITAL GATE BOX CULVERT,22.39633988,91.75825516,3
N1,N1_link156,link,,,22.39452871,91.75867169,406
N1,N1_LRP231b,bridge,A,GAMMON BRIDGE,22.39271753,91.75908821,18
N1,N1_link157,link,,,22.38898171,91.76079694,927
N1,N1_LRP232a,bridge,A,PAKKA MATA BOX CULVERT,22.38524588,91.76250566,3
N1,N1_link158,link,,,22.38247353,91.76477666,791
N1,N1_LRP233a,bridge,A,GLAXO BOX CULVERT,22.37970118,91.76704765,8.3
N1,N1_link159,link,,,22.37469266,91.77048676,1045
N1,N1_LRP234a,bridge,A,CORNAIL HAT BOX CULVERT,22.36968413,91.77392587,3
N1,N1_link160,link,,,22.3609758,91.81327396,10932
N1,N1_LRP238a,bridge,A,Bakulia Bridge,22.35226747,91.85262205,15.8
N1,N1_link161,link,,,22.3435914,91.85300998,2077
N1,N1_LRP240c,bridge,A,RAJAKHALI RCC GIDER BRIDGE,22.33491534,91.8533979,48.5
N1,N1_link162,link,,,22.32392092,91.85478991,2662
N1,N1_LRP242b,bridge,A,Shikalbaha Bridge,22.31292651,91.85618192,17.3
N1,N1_link163,link,,,22.30777503,91.85987331,1403
N1,N1_LRP244a,bridge,A,SOUTH MITTACHORI,22.30262355,91.8635647,3
N1,N1_link164,link,,,22.30145434,91.86443136,308
N1,N1_LRP244b,bridge,B,SHIKALBAHA BOX CULVERT,22.30028513,91.86529803,5.7
N1,N1_link165,link,,,22.29891008,91.86583053,326
N1,N1_LRP244c,bridge,A,KADUMTOLI CULVERT,22.29753503,91.86636303,3
N1,N1_link166,link,,,22.29538583,91.86739955,541
N1,N1_LRP245a,bridge,A,ISLAMPUR CULVERT,22.29323663,91.86843607,1.5
N1,N1_link167,link,,,22.29243939,91.8693636,304
N1,N1_LRP245b,bridge,A,NOLBILA CULVERT,22.29164214,91.87029114,3
N1,N1_link168,link,,,22.29212504,91.87165563,322
N1,N1_LRP246a,bridge,A,SHIKALBAHA MORE,22.29260793,91.87302012,3
N1,N1_link169,link,,,22.29353664,91.87486904,440
N1,N1_LRP246b,bridge,A,SHIKALBAHA BOX CULVERT,22.29446535,91.87671797,3
N1,N1_link170,link,,,22.29536761,91.87873539,257
N1,N1_LRP247a,bridge,A,Sikolbaha Bridge-1,22.29626987,91.8807528,116.13
N1,N1_link171,link,,,22.29990321,91.89258776,2795
N1,N1_LRP250a,bridge,A,KUSUMPUR BOX CULVERT,22.30353655,91.90442272,3
N1,N1_link172,link,,,22.30592777,91.90931901,1172
N1,N1_LRP251a,bridge,A,tassi bazer(R),22.30831899,91.9142153,3
N1,N1_link173,link,,,22.31103684,91.91726647,873
N1,N1_LRP252a,bridge,A,MONSHA CULVERT,22.31375468,91.92031764,3
N1,N1_link174,link,,,22.31475075,91.92233503,512
N1,N1_LRP252c,bridge,A,UTTOR SONAPUR,22.31574681,91.92435241,3
N1,N1_link175,link,,,22.31209311,91.93637056,2905
N1,N1_LRP255a,bridge,A,UZIRPUR HIGH SCHOOL,22.30843941,91.9483887,3
N1,N1_link176,link,,,22.30452051,91.95711724,2321
N1,N1_LRP257a,bridge,B,Patiya Bridge,22.3006016,91.96584577,50.3
N1,N1_link177,link,,,22.2958734,91.9746063,2253
N1,N1_LRP260a,bridge,A,PALYA BUS STATION,22.2911452,91.98336683,12.4
N1,N1_link178,link,,,22.28111739,91.99448204,3449
N1,N1_LRP263b,bridge,A,KHORNA CULVERT,22.27108957,92.00559725,3
N1,N1_link179,link,,,22.26507058,92.00685419,1381
N1,N1_LRP264c,bridge,C,AJIMPUR CUL,22.25905159,92.00811112,9.8
N1,N1_link180,link,,,22.25699453,92.00920663,522
N1,N1_LRP265a,bridge,A,MOJAFFARABAD,22.25493748,92.01030213,9.2
N1,N1_link181,link,,,22.25402872,92.011137,269
N1,N1_LRP265b,bridge,A,MOJAFFORABAD BOX CULVERT,22.25311996,92.01197187,6
N1,N1_link182,link,,,22.25091649,92.01390299,652
N1,N1_LRP267a,bridge,A,MOJAFFORABAD,22.24871301,92.0158341,9.4
N1,N1_link183,link,,,22.24454959,92.01881297,1248
N1,N1_LRP268a,bridge,A,ROWSONAT CUL,22.24038616,92.02179183,14
N1,N1_link184,link,,,22.23851036,92.02252829,466
N1,N1_LRP268b,bridge,A,KANCHANAGAR CUL,22.23663455,92.02326475,14
N1,N1_link185,link,,,22.2313477,92.02486489,1087
N1,N1_LRP269c,bridge,B,NORTH JOARA PAKKAR DOKAN,22.22606085,92.02646504,9.4
N1,N1_link186,link,,,22.22416642,92.02692182,435
N1,N1_LRP270a,bridge,A,GASBAREA BOX CULVERT,22.22227199,92.0273786,14
N1,N1_link187,link,,,22.21892967,92.02820082,782
N1,N1_LRP271a,bridge,A,GASBAREA COLLEGE BOX CULVERT,22.21558735,92.02902304,9.2
N1,N1_link188,link,,,22.21028556,92.03367714,1621
N1,N1_LRP272c,bridge,B,KHOLGHAR CUL,22.20498376,92.03833123,9.2
N1,N1_link189,link,,,22.18180552,92.05326877,6713
N1,N1_LRP279a,bridge,B,Sangu Bridge,22.15862728,92.06820631,211
N1,N1_link190,link,,,22.1542398,92.06891969,1140
N1,N1_LRP280a,bridge,A,KATGOR CULVERT,22.14985231,92.06963307,9.2
N1,N1_link191,link,,,22.14340227,92.0697816,1446
N1,N1_LRP282a,bridge,A,MOULOVER DOKAN,22.13695223,92.06993013,12.4
N1,N1_link192,link,,,22.13473654,92.07004333,500
N1,N1_LRP282c,bridge,A,PATATR PULL CULVERT,22.13252084,92.07015654,15.4
N1,N1_link193,link,,,22.13121844,92.0703795,298
N1,N1_LRP282e,bridge,A,Pathanerpul Bridge,22.12991603,92.07060247,33.65
N1,N1_link194,link,,,22.12882491,92.07080185,253
N1,N1_LRP283a,bridge,A,Noyakhalar Muk Bridge,22.1277338,92.07100123,27.9
N1,N1_link195,link,,,22.1254057,92.07135114,513
N1,N1_LRP283c,bridge,A,NOYAKHALARMUK,22.1230776,92.07170105,15.4
N1,N1_link196,link,,,22.12178255,92.07183578,343
N1,N1_LRP283d,bridge,A,NOYA KHALAR MUK (KARANIERHAT) BOX CULVERT,22.1204875,92.07197051,20.4
N1,N1_link197,link,,,22.11691999,92.07232871,842
N1,N1_LRP284a,bridge,A,KARANERHAT CULVERT,22.11335249,92.0726869,5
N1,N1_link198,link,,,22.10581553,92.07374366,1560
N1,N1_LRP286b,bridge,A,KARANERHAT CULVERT,22.09827857,92.07480042,7.2
N1,N1_link199,link,,,22.09592804,92.07765261,830
N1,N1_LRP287a,bridge,A,KOACHIA(MADARBHI),22.0935775,92.0805048,11.2
N1,N1_link200,link,,,22.08882217,92.08685087,1707
N1,N1_LRP288a,bridge,A,MITADIGI ACADEMY,22.08406683,92.09319694,2
N1,N1_link201,link,,,22.08229372,92.09584123,708
N1,N1_LRP289a,bridge,A,MITADIGI,22.08052061,92.09848553,12.6
N1,N1_link202,link,,,22.07504034,92.10138048,1400
N1,N1_LRP291a,bridge,A,RAJGHATA BRIDGE,22.06956008,92.10427542,30.3
N1,N1_link203,link,,,22.06873502,92.10491421,236
N1,N1_LRP291c,bridge,A,THAKUR DIGI BOX CULVERT,22.06790996,92.105553,2
N1,N1_link204,link,,,22.06583334,92.10632956,525
N1,N1_LRP291d,bridge,A,Khoria Nagar Bridge,22.06375672,92.10710611,38.5
N1,N1_link205,link,,,22.06232143,92.10741974,330
N1,N1_LRP292a,bridge,A,NOYA PARA BOX CULVERT,22.06088615,92.10773337,2.5
N1,N1_link206,link,,,22.05869563,92.10840941,510
N1,N1_LRP292b,bridge,A,PODUA NOYA PARA BOX CULVERT,22.05650512,92.10908546,8.2
N1,N1_link207,link,,,22.05421738,92.10907342,512
N1,N1_LRP293a,bridge,A,PODUA BAZAR BOX CULVERT,22.05192964,92.10906139,12.6
N1,N1_link208,link,,,22.05015048,92.10862762,387
N1,N1_LRP293c,bridge,A,PODUA BAZAR BOX CULVERT,22.04837132,92.10819385,6
N1,N1_link209,link,,,22.04623379,92.1076284,535
N1,N1_LRP294a,bridge,A,BARO AWLIA(R),22.04409626,92.10706295,13.64
N1,N1_link210,link,,,22.04084305,92.10552603,836
N1,N1_LRP294c,bridge,A,TALOCKDNR PARA BOX CULVERT,22.03758985,92.10398911,2.5
N1,N1_link211,link,,,22.03472737,92.10405689,652
N1,N1_LRP295a,bridge,A,AMIRABAD BOX CULVERT,22.03186488,92.10412467,2.5
N1,N1_link212,link,,,22.03028312,92.103777,377
N1,N1_LRP295b,bridge,A,Amirabad Bridge,22.02870136,92.10342933,68.8
N1,N1_link213,link,,,22.02735296,92.10306304,322
N1,N1_LRP296a,bridge,A,AMIRABAD LOHAGOR BOX CULVERT,22.02600455,92.10269674,2
N1,N1_link214,link,,,22.02325129,92.10206226,650
N1,N1_LRP296b,bridge,A,AMIRABAD LOHAGORA BOX CULVERT,22.02049803,92.10142777,10
N1,N1_link215,link,,,22.01415904,92.09710217,1831
N1,N1_LRP298a,bridge,A,LOHAGORA L.S BOX CULVERT,22.00782005,92.09277658,3
N1,N1_link216,link,,,22.00599633,92.09167261,492
N1,N1_LRP299a,bridge,A,DIGIRPARK BOX CULVERT,22.00417261,92.09056863,12.6
N1,N1_link217,link,,,22.00230113,92.08944401,508
N1,N1_LRP299c,bridge,A,DIGIRPAR BOX CULVERT,22.00042964,92.08831938,6.2
N1,N1_link218,link,,,21.9981328,92.08788914,545
N1,N1_LRP300a,bridge,A,ZADUNAGOR FILLING BOX CULVERT,21.99583596,92.08745891,3
N1,N1_link219,link,,,21.99578848,92.08745249,11
N1,N1_LRP300b,bridge,A,ZADUNAPUR SHAPIR FILLING STATION -(2) BOX CULVERT,21.995741,92.08744606,12.4
N1,N1_link220,link,,,21.99398722,92.08690214,424
N1,N1_LRP300d,bridge,A,Khasmahal Bridge,21.99223344,92.08635821,58.5
N1,N1_link221,link,,,21.99125684,92.08602209,232
N1,N1_LRP301a,bridge,A,ZADUNAGOR BUS STATION BOX CULVERT,21.99028024,92.08568597,14.2
N1,N1_link222,link,,,21.98866056,92.08484017,408
N1,N1_LRP301b,bridge,A,Aadunagor bridge,21.98704087,92.08399437,24.2
N1,N1_link223,link,,,21.98447246,92.08238385,670
N1,N1_LRP302a,bridge,A,HATIAR PULL PC GIDER BRIDGE,21.98190404,92.08077333,22.5
N1,N1_link224,link,,,21.9811832,92.07982248,267
N1,N1_LRP302c,bridge,A,HATIAR PULL BOX CULVERT,21.98046236,92.07887163,18.7
N1,N1_link225,link,,,21.97988047,92.07736043,345
N1,N1_LRP302e,bridge,A,SHIX DAR PARA BOX CULVERT,21.97929857,92.07584923,3.5
N1,N1_link226,link,,,21.97658349,92.07208485,1090
N1,N1_LRP303a,bridge,A,MUSKAMPANI PARA BOX CULVERT,21.9738684,92.06832048,2.5
N1,N1_link227,link,,,21.97141326,92.0662353,752
N1,N1_LRP304b,bridge,A,AODU NAGOR (2) BOX CULVERT,21.96895812,92.06415011,1.5
N1,N1_link228,link,,,21.96558599,92.06373349,671
N1,N1_LRP305a,bridge,A,Rataykul Bridge,21.96221386,92.06331688,22.4
N1,N1_link229,link,,,21.96072698,92.064298,386
N1,N1_LRP305c,bridge,A,BONPUKR PARA BOX CULVERT,21.95924011,92.06527913,8.2
N1,N1_link230,link,,,21.95863614,92.06583621,317
N1,N1_LRP306a,bridge,A,BON PUKUL PARA BOX CULVERT,21.95803216,92.06639328,3
N1,N1_link231,link,,,21.95505585,92.06710355,616
N1,N1_LRP306b,bridge,A,SANTI RCC GIDER BRIDGE,21.95207954,92.06781381,22.4
N1,N1_link232,link,,,21.94873946,92.06737123,752
N1,N1_LRP307a,bridge,A,SANTI BOX CULVERT,21.94539937,92.06692866,1.4
N1,N1_link233,link,,,21.94071419,92.06473569,1163
N1,N1_LRP308a,bridge,A,BRICK FIELD BOX CULVERT,21.93602902,92.06254272,4.5
N1,N1_link234,link,,,21.93498723,92.06210444,252
N1,N1_LRP308b,bridge,A,BACK FILD BOX CULVERT,21.93394544,92.06166615,9.3
N1,N1_link235,link,,,21.93312706,92.06123356,216
N1,N1_LRP309a,bridge,A,AZIZNAGOR FOREST BOX CULVERT,21.93230867,92.06080096,4.5
N1,N1_link236,link,,,21.93134496,92.0602425,255
N1,N1_LRP309b,bridge,A,AZIZ NOGOR FOREST BOX CULVERT,21.93038125,92.05968404,4.7
N1,N1_link237,link,,,21.92414661,92.05971017,1338
N1,N1_LRP310a,bridge,A,AZIZNAGOR BOX CULVERT,21.91791196,92.0597363,2
N1,N1_link238,link,,,21.91733556,92.05986312,197
N1,N1_LRP310b,bridge,A,AZIZ NOGAR BOX CULVERT,21.91675917,92.05998993,3
N1,N1_link239,link,,,21.91541594,92.06026857,358
N1,N1_LRP311a,bridge,A,AZIZ NAGOR 1,21.91407272,92.06054721,4
N1,N1_link240,link,,,21.91184782,92.06055667,507
N1,N1_LRP311b,bridge,A,AZIZ NAGOR 2,21.90962291,92.06056613,9.2
N1,N1_link241,link,,,21.90032328,92.0601336,1992
N1,N1_LRP313b,bridge,A,HARBHANG CHOR,21.89102365,92.05970108,13.64
N1,N1_link242,link,,,21.88612259,92.05935131,1109
N1,N1_LRP314a,bridge,A,GHOIL MARA BOX CULVERT,21.88122152,92.05900154,9.3
N1,N1_link243,link,,,21.87817063,92.05905569,686
N1,N1_LRP315a,bridge,A,HARBANG,21.87511974,92.05910984,3
N1,N1_link244,link,,,21.86897744,92.05929736,1393
N1,N1_LRP316a,bridge,A,HARBANG,21.86283514,92.05948487,3
N1,N1_link245,link,,,21.86140386,92.05983779,324
N1,N1_LRP317a,bridge,A,HARBANGCHORA,21.85997258,92.06019071,56.4
N1,N1_link246,link,,,21.85645068,92.06057416,792
N1,N1_LRP318a,bridge,A,ALIPUR BOX CULVERT,21.85292879,92.06095762,14.3
N1,N1_link247,link,,,21.85189416,92.06095338,231
N1,N1_LRP318b,bridge,A,HARBANG,21.85085953,92.06094913,2.1
N1,N1_link248,link,,,21.8469148,92.0622738,964
N1,N1_LRP319a,bridge,A,HAR BAG BOX CULVERT,21.84297007,92.06359846,4.5
N1,N1_link249,link,,,21.84168182,92.06426551,323
N1,N1_LRP319b,bridge,A,HAR BAG BOX CULVERT,21.84039357,92.06493255,3
N1,N1_link250,link,,,21.83724844,92.06660307,796
N1,N1_LRP320a,bridge,A,ATKOTA,21.83410332,92.06827359,15.8
N1,N1_link251,link,,,21.83106457,92.06978857,712
N1,N1_LRP321a,bridge,A,AKOTA BAZAR BOX CULVERT,21.82802582,92.07130355,7.3
N1,N1_link252,link,,,21.8269045,92.07182509,276
N1,N1_LRP321b,bridge,A,BODOI TOLA RCC GIDER BRIDGE,21.82578318,92.07234663,46
N1,N1_link253,link,,,21.82346303,92.07318338,546
N1,N1_LRP321d,bridge,A,BODAITALI BOX CULVERT,21.82114288,92.07402014,12.4
N1,N1_link254,link,,,21.81965607,92.07398219,337
N1,N1_LRP322a,bridge,A,BODOITOLI BOX CULVERT,21.81816926,92.07394424,14
N1,N1_link255,link,,,21.81079653,92.07558822,1822
N1,N1_LRP323b,bridge,A,BANIYAR CHORA,21.8034238,92.07723221,14
N1,N1_link256,link,,,21.79563891,92.07804311,1772
N1,N1_LRP325a,bridge,A,NOL BELA-1 BOX CULVERT,21.78785401,92.07885401,20.6
N1,N1_link257,link,,,21.78742575,92.07890166,97
N1,N1_LRP325c,bridge,A,NOL BELA BOX CULVERT,21.78699748,92.07894932,21
N1,N1_link258,link,,,21.78559641,92.07909593,318
N1,N1_LRP326a,bridge,B,NOLBELA BOX CULVERT,21.78419533,92.07924254,14.2
N1,N1_link259,link,,,21.77886463,92.0815785,1432
N1,N1_LRP327a,bridge,A,DIDDA BAZAR BOX CULVERT,21.77353392,92.08391447,15.7
N1,N1_link260,link,,,21.75684027,92.08326942,4261
N1,N1_LRP331a,bridge,B,BANDI BAZAR BOX CULVERT,21.74014662,92.08262437,9.3
N1,N1_link261,link,,,21.73935477,92.082906,188
N1,N1_LRP332a,bridge,A,KUMARIKOOL BOX CULVERT,21.73856292,92.08318763,14
N1,N1_link262,link,,,21.73558489,92.08346823,674
N1,N1_LRP332b,bridge,A,PASIYAKALI BOX CULVERT,21.73260686,92.08374883,5.2
N1,N1_link263,link,,,21.73179735,92.08378224,183
N1,N1_LRP332c,bridge,A,PASIYAKALI (2),21.73098783,92.08381564,38.8
N1,N1_link264,link,,,21.72753088,92.0836799,782
N1,N1_LRP333a,bridge,A,HASIRUGIGI,21.72407393,92.08354415,12.6
N1,N1_link265,link,,,21.71666266,92.0821096,1840
N1,N1_LRP335a,bridge,A,CHOHAJANYA (1),21.70925138,92.08067506,12.8
N1,N1_link266,link,,,21.70604071,92.07966034,789
N1,N1_LRP336a,bridge,A,CHOHAJANIYA (2),21.70283004,92.07864563,9.3
N1,N1_link267,link,,,21.68955466,92.07772655,3122
N1,N1_LRP339a,bridge,A,JASJARI BRIDGE,21.67627929,92.07680747,59.6
N1,N1_link268,link,,,21.67419213,92.07660336,473
N1,N1_LRP339c,bridge,A,DULAHAJARA (SAFARI PARK),21.67210496,92.07639925,14
N1,N1_link269,link,,,21.6675227,92.07573545,966
N1,N1_LRP340a,bridge,A,DULAHAJARA CULVERT,21.66294044,92.07507165,3.5
N1,N1_link270,link,,,21.66149737,92.07508711,322
N1,N1_LRP341a,bridge,A,DULAHAJAR BRIDGE,21.6600543,92.07510257,54.4
N1,N1_link271,link,,,21.65545518,92.07433224,1061
N1,N1_LRP342a,bridge,C,BOYRAGIR KHIL,21.65085607,92.07356192,61
N1,N1_link272,link,,,21.64947041,92.07344557,319
N1,N1_LRP342c,bridge,A,PAGOLARIBIL,21.64808476,92.07332922,4.5
N1,N1_link273,link,,,21.63530997,92.07351635,3181
N1,N1_LRP345a,bridge,B,KHUTAKHALI,21.62253519,92.07370348,1.45
N1,N1_link274,link,,,21.62045592,92.07143741,667
N1,N1_LRP346a,bridge,A,Khutakhali Bazar Bridge,21.61837666,92.06917134,44.55
N1,N1_link275,link,,,21.61244781,92.0657392,915
N1,N1_LRP347a,bridge,A,FULCHARI (NEWPARA),21.60651897,92.06230707,7
N1,N1_link276,link,,,21.60584714,92.06221344,316
N1,N1_LRP347b,bridge,A,FULCHARI (NEWPARA),21.60517531,92.06211981,5.2
N1,N1_link277,link,,,21.60188442,92.06196052,638
N1,N1_LRP348a,bridge,A,FULCHARI CULVERT,21.59859353,92.06180124,9.3
N1,N1_link278,link,,,21.59733361,92.06160539,436
N1,N1_LRP348b,bridge,A,FULCHARI BAZAR,21.5960737,92.06140954,14
N1,N1_link279,link,,,21.59275234,92.06222045,577
N1,N1_LRP349a,bridge,A,NAPITE KHALI CULVERT,21.58943097,92.06303135,1.4
N1,N1_link280,link,,,21.58851689,92.06396807,521
N1,N1_LRP349b,bridge,C,NAPITE KHALI,21.5876028,92.06490479,4.5
N1,N1_link281,link,,,21.58533846,92.06531032,532
N1,N1_LRP350a,bridge,A,EAST NAPITL KHAL BOX CULVERT,21.58307413,92.06571585,2.5
N1,N1_link282,link,,,21.57874082,92.06823026,1045
N1,N1_LRP351a,bridge,A,NAEK KHALI BOX CULVERT,21.57440752,92.07074467,12.4
N1,N1_link283,link,,,21.56836384,92.0702793,1522
N1,N1_LRP352a,bridge,A,KHODIA BARI PRIMARY BOX CULVERT,21.56232017,92.06981393,9.5
N1,N1_link284,link,,,21.56131221,92.06948076,256
N1,N1_LRP353a,bridge,A,ISLAMABAD KHODIABARI BOX CULVERT,21.56030426,92.0691476,4.8
N1,N1_link285,link,,,21.55989676,92.06904785,114
N1,N1_LRP353b,bridge,A,ISLAMABAD KHODIA BARI BOX CULVERT,21.55948925,92.0689481,7
N1,N1_link286,link,,,21.55745743,92.06844921,633
N1,N1_LRP354a,bridge,A,Eidgaon Bazar Bridge,21.55542561,92.06795032,46
N1,N1_link287,link,,,21.55124611,92.06742285,766
N1,N1_LRP354d,bridge,A,Goro Bazar Bridge,21.54706661,92.06689538,44.63
N1,N1_link288,link,,,21.53629817,92.0661103,2315
N1,N1_LRP357a,bridge,A,SHAT GOREA PARA BOX CULVERT,21.52552974,92.06532522,14
N1,N1_link289,link,,,21.52463148,92.06544999,206
N1,N1_LRP357c,bridge,A,KALIRCHARA BOX CULVERT,21.52373323,92.06557476,8
N1,N1_link290,link,,,21.52225208,92.06585941,339
N1,N1_LRP357d,bridge,A,KALIRCHARA BAZAR BOX CULVERT,21.52077094,92.06614406,15.4
N1,N1_link291,link,,,21.52013987,92.06640935,153
N1,N1_LRP357f,bridge,A,KALIRCHAR,21.51950881,92.06667463,5
N1,N1_link292,link,,,21.51662539,92.06800776,708
N1,N1_LRP358a,bridge,A,RASHIDNAGAR,21.51374197,92.06934089,3
N1,N1_link293,link,,,21.51209084,92.07010077,417
N1,N1_LRP358b,bridge,A,ROSHIDNAGAR CULVERT,21.5104397,92.07086066,2.5
N1,N1_link294,link,,,21.50847331,92.07208165,523
N1,N1_LRP359a,bridge,A,DOLERCHARA CULVERT,21.50650693,92.07330264,7.5
N1,N1_link295,link,,,21.50581944,92.07387395,198
N1,N1_LRP359b,bridge,A,DOLERCHARA CULVERT,21.50513194,92.07444526,12.4
N1,N1_link296,link,,,21.50044272,92.07606192,1167
N1,N1_LRP360a,bridge,A,ROSHIDNAGAR (2),21.49575349,92.07767859,14
N1,N1_link297,link,,,21.4953115,92.07800664,128
N1,N1_LRP360c,bridge,A,"ROSHIDNAGAR U,R CULVERT",21.49486951,92.0783347,14.1
N1,N1_link298,link,,,21.48654129,92.08652494,2796
N1,N1_LRP363b,bridge,A,JOARIANALA CULVERT,21.47821307,92.09471518,7.2
N1,N1_link299,link,,,21.47686476,92.09575091,382
N1,N1_LRP364a,bridge,A,JOARIANALA,21.47551645,92.09678665,14
N1,N1_link300,link,,,21.47468054,92.09739962,238
N1,N1_LRP364c,bridge,A,JORIANALA,21.47384463,92.09801259,3
N1,N1_link301,link,,,21.47195008,92.0993264,529
N1,N1_LRP364d,bridge,A,JOARIANALA BAZAR PC GIDER BRIDGE(L),21.47005553,92.10064022,57.6
N1,N1_link302,link,,,21.46779853,92.10164846,574
N1,N1_LRP365a,bridge,B,JOARIANALA CULVERT,21.46554153,92.10265669,14
N1,N1_link303,link,,,21.45804923,92.10106242,2096
N1,N1_LRP367a,bridge,A,MITA CHARI BOX CULVERT,21.45055694,92.09946814,9.2
N1,N1_link304,link,,,21.44697175,92.10036801,841
N1,N1_LRP368a,bridge,A,RAMU HOSPITAL GATE,21.44338656,92.10126788,1.5
N1,N1_link305,link,,,21.44261277,92.10098812,208
N1,N1_LRP368c,bridge,A,Mitacmari Ramu Bridge,21.44183897,92.10070836,58.6
N1,N1_link306,link,,,21.43951996,92.09953781,582
N1,N1_LRP369a,bridge,A,MARULA (WEST),21.43720096,92.09836727,3
N1,N1_link307,link,,,21.43570471,92.09781399,352
N1,N1_LRP369b,bridge,A,MARULA BOX CULVERT,21.43420846,92.09726071,2.5
N1,N1_link308,link,,,21.43250861,92.0966895,410
N1,N1_LRP369c,bridge,A,RAMU BRAC OFFICE,21.43080876,92.09611829,7.2
N1,N1_link309,link,,,21.4298244,92.09575484,232
N1,N1_LRP370a,bridge,A,RAMU BY PASS MORE,21.42884003,92.09539139,3.5
N1,N1_link310,link,,,21.42859581,92.09473141,174
N1,N1_LRP370c,bridge,A,RAMU MOUR BOX CULVDERT,21.4283516,92.09407143,12.8
N1,N1_link311,link,,,21.42812379,92.09176112,483
N1,N1_LRP370e,bridge,A,ROMA CALLAGE BOX CULVERT,21.42789598,92.08945082,18.8
N1,N1_link312,link,,,21.42750118,92.08673832,574
N1,N1_LRP371a,bridge,A,ROMA TECHIPUL,21.42710638,92.08402582,8.2
N1,N1_link313,link,,,21.42694055,92.08223428,380
N1,N1_LRP371c,bridge,A,SAMBAR PUL CULVERT,21.42677471,92.08044274,7.4
N1,N1_link314,link,,,21.42662316,92.07860992,381
N1,N1_LRP372a,bridge,A,CHAKMARKOOL,21.4264716,92.0767771,12.4
