road,id,model_type,break_prob,name,lat,lon,length,condition
N1,N1_LRP181a,bridge,0.0,MIRSARAI BOX CUL,22.7941813523326,91.5629612622718,4.5,
N1,N1_link72,link,,,22.7841892221663,91.56791750713585,2461.999999999989,
N1,N1_LRP183b,bridge,0.0,Mirsorai(2) box culvert,22.774197092,91.5728737519999,6.0,
N1,N1_link73,link,,,22.772224379049,91.57398213655429,493.0000000000234,
N1,N1_LRP184a,bridge,0.0,IANAINIPOL BOX CULVERT.,22.770251666098,91.5750905211087,9.7,
N1,N1_link74,link,,,22.766657178744353,91.57777220161395,977.9999999999802,
N1,N1_LRP185a,bridge,0.0,BOKIMTOLA BOX CULVERT,22.7630626913907,91.5804538821192,4.0,
N1,N1_link75,link,,,22.758314007951398,91.58452715288885,1358.000000000004,
N1,N1_LRP186a,bridge,0.0,VARTAKA BOX CULVERT,22.7535653245121,91.5886004236585,12.9,
N1,N1_link76,link,,,22.752102337040498,91.5897422303637,403.99999999999636,
N1,N1_LRP187a,bridge,0.0,VARTAGIA BOX CULVERT,22.7506393495689,91.5908840370689,3.0,
N1,N1_link77,link,,,22.73697805252095,91.59665858875705,3292.000000000002,
N1,N1_LRP190a,bridge,0.0,NIAZAMPUR BOX CULVERT,22.723316755473,91.6024331404452,3.0,
N1,N1_link78,link,,,22.7205705710057,91.6040977356072,707.9999999999984,
N1,N1_LRP191a,bridge,0.0,MIRJAPUR BOX CULVERT,22.7178243865384,91.6057623307692,3.0,
N1,N1_link79,link,,,22.71754756038455,91.60593540769224,72.00000000000273,
N1,N1_LRP191b,bridge,0.0,MIRZAPUR (2) BOX CULVERT,22.7172707342307,91.6061084846153,3.0,
N1,N1_link80,link,,,22.70954361908385,91.6105409727538,1977.0000000000039,
N1,N1_LRP193a,bridge,0.0,DUKHIN UTHPAR BOX CULVERT,22.701816503937,91.6149734608923,19.2,
N1,N1_link81,link,,,22.6965341093759,91.61757125914986,1300.9999999999877,
N1,N1_LRP194a,bridge,0.0,VANGGARPOL BOX CULVERT,22.6912517148148,91.6201690574074,4.2,
N1,N1_link82,link,,,22.6890607397603,91.62110381988015,542.0000000000016,
N1,N1_LRP195a,bridge,0.0,BORO KAMALDA BOX CULVERT,22.6868697647058,91.6220385823529,3.2,
N1,N1_link83,link,,,22.6819235319051,91.624427763863,1199.0000000000123,
N1,N1_LRP196a,bridge,0.0,TARAT BOX CULVERT,22.6769772991044,91.6268169453731,6.0,
N1,N1_link84,link,,,22.6734683691174,91.62808505746915,848.9999999999895,
N1,N1_LRP197a,bridge,0.0,Tarial Bazar Culvert,22.6699594391304,91.6293531695652,3.0,
N1,N1_link85,link,,,22.66787166861925,91.63024126383665,503.0000000000143,
N1,N1_LRP197b,bridge,0.0,MIRJA PUR (3) BOX CULVERT,22.6657838981081,91.6311293581081,3.0,
N1,N1_link86,link,,,22.663689789794752,91.63232755035034,537.0000000000061,
N1,N1_LRP198a,bridge,0.0,SATU DURUAR HAT BOX CULVERT,22.6615956814814,91.6335257425926,3.0,
N1,N1_link87,link,,,22.658154055446552,91.63572595953156,887.0000000000005,
N1,N1_LRP199a,bridge,0.0,RONA SORA CULVERT,22.6547124294117,91.6379261764705,3.1,
N1,N1_link88,link,,,22.6528916920781,91.6389801479676,464.999999999975,
N1,N1_LRP199b,bridge,0.0,NUNA CHARA BOX CULVERT,22.6510709547445,91.6400341194647,4.6,
N1,N1_link89,link,,,22.649263532987803,91.64097561826365,456.0000000000173,
N1,N1_LRP199c,bridge,0.0,BOTTOL BOX CULVERT,22.6474561112311,91.6419171170626,12.4,
N1,N1_link90,link,,,22.641776351098052,91.6450631788598,1432.9999999999927,
N1,N1_LRP201a,bridge,0.0,KACHAI PATH BOX CULVERT,22.636096590965,91.648209240657,3.0,
N1,N1_link91,link,,,22.635212581416752,91.64870848362415,223.0000000000132,
N1,N1_LRP201b,bridge,0.0,KACHAI POTTI BOX CULVERT,22.6343285718685,91.6492077265913,3.0,
N1,N1_link92,link,,,22.6312476035813,91.65098277621125,774.9999999999773,
N1,N1_LRP202a,bridge,0.0,EGOL PUR BOX CULVERT,22.6281666352941,91.6527578258312,3.0,
N1,N1_link93,link,,,22.625606403232602,91.65411253949216,641.0000000000196,
N1,N1_LRP203a,bridge,0.0,SITAKUNDA SLAB,22.6230461711711,91.6554672531531,3.0,
N1,N1_link94,link,,,22.620401260091448,91.6567630985133,602.0000000000039,
N1,N1_LRP203b,bridge,0.0,MOHADAB PUR BOX CULVERT,22.6177563490118,91.6580589438735,3.0,
N1,N1_link95,link,,,22.6163731588196,91.65916299710014,478.999999999985,
N1,N1_LRP204a,bridge,0.0,PURBOMOHADAB PUR SLAB CULVERT(L),22.6149899686274,91.6602670503268,4.6,
N1,N1_link96,link,,,22.61337282141045,91.6614178617225,436.00000000000705,
N1,N1_LRP205a,bridge,0.0,MADICAL MORE CULVERT,22.6117556741935,91.6625686731182,3.0,
N1,N1_link97,link,,,22.60779755768495,91.66497161597084,1021.9999999999914,
N1,N1_LRP206a,bridge,0.0,DOKHIN MOHADEB PUR BOX CULVERT,22.6038394411764,91.6673745588235,2.95,
N1,N1_link98,link,,,22.598863810784252,91.67063174779409,1307.9999999999927,
N1,N1_LRP207a,bridge,0.0,HATILOTA BOX CULVERT,22.5938881803921,91.6738889367647,4.5,
N1,N1_link99,link,,,22.5876984275138,91.67671398908205,1535.000000000025,
N1,N1_LRP208d,bridge,0.0,BAROGINDO CULVERT,22.5815086746355,91.6795390413994,2.5,
N1,N1_link100,link,,,22.579150848793148,91.6805808914647,566.0000000000025,
N1,N1_LRP209a,bridge,0.0,BARO-CUNDHOW BOX CULVERT,22.5767930229508,91.68162274153,10.2,
N1,N1_link101,link,,,22.5735418080043,91.6828162035749,773.9999999999725,
N1,N1_LRP210a,bridge,0.0,PHPMORE BON CULVERT,22.5702905930578,91.6840096656198,3.0,
N1,N1_link102,link,,,22.569143699751997,91.68434816305779,273.00000000002456,
N1,N1_LRP210b,bridge,0.0,CHARA KANDI BOX CULVERT,22.5679968064462,91.6846866604958,8.2,
N1,N1_link103,link,,,22.56720904904125,91.68493466206604,186.9999999999834,
N1,N1_LRP210d,bridge,0.0,R. R TEXTAIL BOX CULVERT,22.5664212916363,91.6851826636363,4.5,
N1,N1_link104,link,,,22.5624711889491,91.68634445306415,924.0000000000066,
N1,N1_LRP211a,bridge,0.0,OHIDPUR BOX CULVERT,22.5585210862619,91.687506242492,4.1,
